id;tabla;fuente;duplicado_en_b;precio;area;precio_m2;lat;lon;manzana;barrio;localidad;codigo_predial;estrato;estrato_num;avaluo;anio;habitaciones;banios;plantas;piso;anio_construccion;uso;condicion_predio;clase_unidad_principal;origen_predio;origen_caract;origen_atributos;npn_remapeado;area_es_suma_pisos;area_confiable;es_vis;precio_valido;area_valida;vivienda_sin_ambientes;vivienda_en_sotano;precio_m2_en_rango;apto_modelo
B:18493;B;observatorio;False;320000000,0;148,0;2162162,1621621624;10,972142389694236;-74,79151806003087;"=""08001010500000619""";SAN ISIDRO;SUROCCIDENTE;"=""080010105000006190019000000000""";Medio_Bajo_3;3;141359000,0;2019;2,0;1,0;1,0;1,0;1995,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18494;B;observatorio;False;400000000,0;171,0;2339181,2865497074;10,97360464193985;-74,79098068477256;"=""08001010500000620""";SAN ISIDRO;SUROCCIDENTE;"=""080010105000006200018000000000""";Medio_Bajo_3;3;198224000,0;2019;5,0;2,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18495;B;observatorio;False;215000000,0;116,0;1853448,2758620689;10,970015057108574;-74,7952520270007;"=""08001010500000698""";SAN ISIDRO;SUROCCIDENTE;"=""080010105000006980016000000000""";Medio_Bajo_3;3;132866000,0;2019;2,0;1,0;1,0;1,0;2011,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18496;B;observatorio;False;177570000,0;184,12;964425,3747555942;10,968494725347146;-74,79127902793134;"=""08001010500000467""";SAN ISIDRO;SUROCCIDENTE;"=""080010105000004670003000000000""";Medio_Bajo_3;3;121954000,0;2019;4,0;2,0;1,0;1,0;1989,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18497;B;observatorio;False;115000000,0;77,0;1493506,4935064935;10,975485301722264;-74,79910275573074;"=""08001010400000028""";LOS PINOS;SUROCCIDENTE;"=""080010104000000280034000000000""";Medio_Bajo_3;3;47730000,0;2019;2,0;1,0;1,0;1,0;1993,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18506;B;observatorio;False;270000000,0;396,0;681818,1818181818;10,979742593149469;-74,79950977810597;"=""08001010400000069""";LUCERO;SUROCCIDENTE;"=""080010104000000690021000000000""";Medio_4;4;169088000,0;2019;4,0;2,0;2,0;1,0;1990,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;True;True;False;True;True;False;False;True;True
B:18507;B;observatorio;False;69300000,0;60,0;1155000,0;10,970950866692304;-74,78096228414822;"=""08001010500000045""";SAN ROQUE;SURORIENTE;"=""080010105000000450028000000000""";Medio_Bajo_3;3;41432000,0;2019;2,0;1,0;1,0;1,0;2011,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18508;B;observatorio;False;111020000,0;95,0;1168631,5789473683;10,968613579833143;-74,78418646811397;"=""08001010500000139""";SAN ROQUE;SURORIENTE;"=""080010105000001390014000000000""";Medio_Bajo_3;3;88130000,0;2019;4,0;2,0;1,0;1,0;1986,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18509;B;observatorio;False;315000000,0;546,0;576923,0769230769;10,974492859505592;-74,78236529681058;"=""08001010500000204""";SAN ROQUE;SURORIENTE;"=""080010105000002040034000000000""";No_Aplica;;297874000,0;2019;0,0;0,0;1,0;1,0;2011,0;Industrial_Bodega_Casa_Bomba;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18510;B;observatorio;False;480000000,0;38,0;12631578,94736842;10,975581564834895;-74,78099515536512;"=""08001010500000109""";SAN ROQUE;SURORIENTE;"=""080010105000001090005000000000""";No_Aplica;;174156000,0;2019;0,0;1,0;1,0;1,0;1986,0;Industrial_Talleres;NPH;otro_uso;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
